data,S_mais,S_menos,n_categorias,ISM,recorte,ar,k
2026-05-01,0.06597607061731481,0.09841631412001935,209,-0.03244024350270454,sem_alimentacao,3,3
2026-06-01,0.10029534716391322,0.18850203650240457,209,-0.08820668933849135,sem_alimentacao,3,3
2026-07-01,0.09266918924991446,0.17837191251640444,209,-0.08570272326648998,sem_alimentacao,3,3
2009-07-01,0.0,0.0,225,0.0,sem_alimentacao,3,4
2009-08-01,0.0,0.0,225,0.0,sem_alimentacao,3,4
2009-09-01,0.0,0.0,225,0.0,sem_alimentacao,3,4
2009-10-01,0.019226793734140254,0.07260340167344555,225,-0.05337660793930529,sem_alimentacao,3,4
2009-11-01,0.014892491159236984,0.12410882527554787,225,-0.10921633411631089,sem_alimentacao,3,4
2009-12-01,0.004693744471776198,0.12686668345309807,225,-0.12217293898132187,sem_alimentacao,3,4
2010-01-01,0.005413533834586467,0.10155474523217917,225,-0.0961412113975927,sem_alimentacao,3,4
2010-02-01,0.01880194764917504,0.19015424058222719,225,-0.17135229293305215,sem_alimentacao,3,4
2010-03-01,0.027654237989346846,0.20170915860785024,225,-0.1740549206185034,sem_alimentacao,3,4
2010-04-01,0.06438307495215323,0.16747405382696326,225,-0.10309097887481003,sem_alimentacao,3,4
2010-05-01,0.0707414100180705,0.09305001235033347,225,-0.022308602332262978,sem_alimentacao,3,4
2010-06-01,0.035510455488156685,0.17373185298382945,225,-0.13822139749567278,sem_alimentacao,3,4
2010-07-01,0.022448445866865528,0.1679302737470093,225,-0.14548182788014377,sem_alimentacao,3,4
2010-08-01,0.024798463995035137,0.09049370664632451,225,-0.06569524265128937,sem_alimentacao,3,4
2010-09-01,0.023972952267263023,0.10578795125310225,225,-0.08181499898583923,sem_alimentacao,3,4
2010-10-01,0.014031804214848008,0.07307384656006585,225,-0.05904204234521784,sem_alimentacao,3,4
2010-11-01,0.030720920900381674,0.05028252182710002,225,-0.019561600926718343,sem_alimentacao,3,4
2010-12-01,0.07091127679938244,0.15017042594751348,225,-0.07925914914813104,sem_alimentacao,3,4
2011-01-01,0.057539602168564186,0.08860066457685167,225,-0.031061062408287488,sem_alimentacao,3,4
2011-02-01,0.03127759008346184,0.039383106988376035,225,-0.008105516904914192,sem_alimentacao,3,4
2011-03-01,0.02335335049089696,0.034081397884422784,225,-0.010728047393525824,sem_alimentacao,3,4
2011-04-01,0.07670644453728849,0.05258904324211406,225,0.02411740129517443,sem_alimentacao,3,4
2011-05-01,0.03845732270641843,0.08915569265458874,225,-0.050698369948170306,sem_alimentacao,3,4
2011-06-01,0.07082535368291056,0.09182766304922514,225,-0.021002309366314587,sem_alimentacao,3,4
2011-07-01,0.04917551863378737,0.14800636794021124,225,-0.09883084930642387,sem_alimentacao,3,4
2011-08-01,0.04465014548792157,0.09347680330163194,225,-0.048826657813710365,sem_alimentacao,3,4
2011-09-01,0.04914763841101032,0.06197867792722345,225,-0.012831039516213123,sem_alimentacao,3,4
2011-10-01,0.03791070034015069,0.10140766844890503,225,-0.06349696810875434,sem_alimentacao,3,4
2011-11-01,0.05166467978098173,0.16294506021959218,225,-0.11128038043861045,sem_alimentacao,3,4
2011-12-01,0.01822543094325424,0.1799026409237354,225,-0.16167720998048116,sem_alimentacao,3,4
2012-01-01,0.0019706983816859033,0.11120462353156954,211,-0.10923392514988364,sem_alimentacao,3,4
2012-02-01,0.006767735685939568,0.04119100690574646,211,-0.03442327121980689,sem_alimentacao,3,4
2012-03-01,0.012337134345057276,0.06442031860847845,211,-0.05208318426342118,sem_alimentacao,3,4
2012-04-01,0.01776084080036326,0.09843338741427607,211,-0.08067254661391281,sem_alimentacao,3,4
2012-05-01,0.03231671630532326,0.06468675623301122,211,-0.03237003992768796,sem_alimentacao,3,4
2012-06-01,0.01384386237641036,0.07126470902240171,211,-0.057420846645991355,sem_alimentacao,3,4
2012-07-01,0.011804358090746167,0.12202967133014898,211,-0.11022531323940282,sem_alimentacao,3,4
2012-08-01,0.027580648742837062,0.12503575753063392,211,-0.09745510878779687,sem_alimentacao,3,4
2012-09-01,0.011671711371383574,0.0888243003905831,211,-0.07715258901919952,sem_alimentacao,3,4
2012-10-01,0.06724700447902644,0.07668612340720603,211,-0.009439118928179585,sem_alimentacao,3,4
2012-11-01,0.059727534183042684,0.11431660848509373,211,-0.054589074302051045,sem_alimentacao,3,4
2012-12-01,0.022614905093119038,0.08335557182726804,211,-0.060740666734149,sem_alimentacao,3,4
